Name,Last_Name,Department,University,Country,Paper_Title,Year,Journal,Language,Keywords
Virginia,Melo,Universidad Autonoma Metropolitana,Universidad Autonoma Metropolitana,Mexico,"Fruto de Capulín Prunus Serotina y larvas de Synopsia Mexicanaria W, representan una buena fuente de nutrientes en la dieta cotidiana",2013,Etmologia Mexicana,Spanish,Capulmimiche; Analisis proximal; Insectos comestibles
Hector,Jimenez Aguirre,Universidad Autonoma Metropolitana,Universidad Autonoma Metropolitana,Mexico,"Fruto de Capulín Prunus Serotina y larvas de Synopsia Mexicanaria W, representan una buena fuente de nutrientes en la dieta cotidiana",2013,Etmologia Mexicana,Spanish,Capulmimiche; Analisis proximal; Insectos comestibles
Tomas,Quirino Barreda,Universidad Autonoma Metropolitana,Universidad Autonoma Metropolitana,Mexico,"Fruto de Capulín Prunus Serotina y larvas de Synopsia Mexicanaria W, representan una buena fuente de nutrientes en la dieta cotidiana",2013,Etmologia Mexicana,Spanish,Capulmimiche; Analisis proximal; Insectos comestibles
Bernardo,Martinez,Universidad Autonoma Metropolitana,Universidad Autonoma Metropolitana,Mexico,"Plaga de ortopteros, recurso de nuetrientes para la poblacion",2013,Etmologia Mexicana,Spanish,"Insectos Comestibles, Chapulines, Nutricion"
Nadia,Vargas Martinez,Universidad Autonoma Metropolitana,Universidad Autonoma Metropolitana,Mexico,"Plaga de ortopteros, recurso de nuetrientes para la poblacion",2013,Etmologia Mexicana,Spanish,"Insectos Comestibles, Chapulines, Nutricion"
Virginia,Melo,Universidad Autonoma Metropolitana,Universidad Autonoma Metropolitana,Mexico,"Fruto de Capulín Prunus Serotina y larvas de Synopsia Mexicanaria W, representan una buena fuente de nutrientes en la dieta cotidiana",2013,Etmologia Mexicana,Spanish,Capulmimiche; Analisis proximal; Insectos comestibles
Hector,Jimenez Aguirre,Universidad Autonoma Metropolitana,Universidad Autonoma Metropolitana,Mexico,"Fruto de Capulín Prunus Serotina y larvas de Synopsia Mexicanaria W, representan una buena fuente de nutrientes en la dieta cotidiana",2013,Etmologia Mexicana,Spanish,Capulmimiche; Analisis proximal; Insectos comestibles
Virginia,Melo,Universidad Autonoma Metropolitana,Universidad Autonoma Metropolitana,Mexico,Iron Profile of Octopus Hubbsorum (Cephalopoda: Octopodidae) for Enrichment of the Mexican Diet,2016,J. Chen. Chem. Eng.,English,"Iron, Mexico, octopus, nutrition, food security. "
Rafael,Diaz Garcia,Universidad Autonoma Metropolitana,Universidad Autonoma Metropolitana,Mexico,Iron Profile of Octopus Hubbsorum (Cephalopoda: Octopodidae) for Enrichment of the Mexican Diet,2016,J. Chen. Chem. Eng.,English,"Iron, Mexico, octopus, nutrition, food security. "
Cesar,Gazga Urioste,Universidad Autonoma Metropolitana,Universidad Autonoma Metropolitana,Mexico,Iron Profile of Octopus Hubbsorum (Cephalopoda: Octopodidae) for Enrichment of the Mexican Diet,2016,J. Chen. Chem. Eng.,English,"Iron, Mexico, octopus, nutrition, food security. "
Brian,Urbano,Facultad de Ciencias,Universidad Nacional Auttonoma de Mexico,Mexico,Iron Profile of Octopus Hubbsorum (Cephalopoda: Octopodidae) for Enrichment of the Mexican Diet,2016,J. Chen. Chem. Eng.,English,"Iron, Mexico, octopus, nutrition, food security. "
Virginia,Melo,Universidad Autonoma Metropolitana,Universidad Autonoma Metropolitana,Mexico,"Nutritional Analysis of Octopus hubbsorum B (Cephalopoda: Octopodidae) from the Pacific Ocean, Acapulco, Guerrero, México",2016,Journal of Applied Life Sciences International,English,Octopus hubbsorum; nutrition; sea food; Mexican diet. 
Brian,Urbano,Facultad de Ciencias,Universidad Nacional Auttonoma de Mexico,Mexico,"Nutritional Analysis of Octopus hubbsorum B (Cephalopoda: Octopodidae) from the Pacific Ocean, Acapulco, Guerrero, México",2016,Journal of Applied Life Sciences International,English,Octopus hubbsorum; nutrition; sea food; Mexican diet. 
Nadia,Vargas Martinez,Universidad Autonoma Metropolitana,Universidad Autonoma Metropolitana,Mexico,"Nutritional Analysis of Octopus hubbsorum B (Cephalopoda: Octopodidae) from the Pacific Ocean, Acapulco, Guerrero, México",2016,Journal of Applied Life Sciences International,English,Octopus hubbsorum; nutrition; sea food; Mexican diet. 
J J,Falcon Geronimo,Universidad Autonoma Metropolitana,Universidad Autonoma Metropolitana,Mexico,"Nutritional Analysis of Octopus hubbsorum B (Cephalopoda: Octopodidae) from the Pacific Ocean, Acapulco, Guerrero, México",2016,Journal of Applied Life Sciences International,English,Octopus hubbsorum; nutrition; sea food; Mexican diet. 
Cesar,Gazga Urioste,Universidad Autonoma Metropolitana,Universidad Autonoma Metropolitana,Mexico,"Nutritional Analysis of Octopus hubbsorum B (Cephalopoda: Octopodidae) from the Pacific Ocean, Acapulco, Guerrero, México",2016,Journal of Applied Life Sciences International,English,Octopus hubbsorum; nutrition; sea food; Mexican diet. 
Malin,Pinsky,"Department of Ecology, Evolution, and Natural Resources ",Rutgers University ,USA,Preparing ocean governance for species on the move,2018,Science,English,Climate change; species on the move; transboundary; conflict
Gabriel,Reygondeau,Institute for the Oceans and Fisheries,University of British Columbia,Canada,Preparing ocean governance for species on the move,2018,Science,English,Climate change; species on the move; transboundary; conflict
Richard,Caddell,Netherlands Institute for the Law of the Sea,Utrecht University ,UK,Preparing ocean governance for species on the move,2018,Science,English,Climate change; species on the move; transboundary; conflict
Jessica,Spijkers,Stockholm Resilience Center ,Stockholm University,Sweden,Preparing ocean governance for species on the move,2018,Science,English,Climate change; species on the move; transboundary; conflict
William,Cheung,Institute for the Oceans and Fisheries,University of British Columbia,Canada,Preparing ocean governance for species on the move,2018,Science,English,Climate change; species on the move; transboundary; conflict
Juliana,Herrera Correal,Bren School of Environmental Science & Management ,"University of California, Santa Barbara",USA,"Evaluating the bio-economic performance of a Callo de hacha (Atrina maura, Atrina tuberculosa & Pinna rugosa) fishery restoration plan in La Paz, Mexico",2018,PLoS ONE,English,Small scale fisheries; callo de hacha; restoration
Salvador,Rodriguez,Bren School of Environmental Science & Management ,"University of California, Santa Barbara",USA,"Evaluating the bio-economic performance of a Callo de hacha (Atrina maura, Atrina tuberculosa & Pinna rugosa) fishery restoration plan in La Paz, Mexico",2018,PLoS ONE,English,Small scale fisheries; callo de hacha; restoration
Jacy,Brunkow,Bren School of Environmental Science & Management ,"University of California, Santa Barbara",USA,"Evaluating the bio-economic performance of a Callo de hacha (Atrina maura, Atrina tuberculosa & Pinna rugosa) fishery restoration plan in La Paz, Mexico",2018,PLoS ONE,English,Small scale fisheries; callo de hacha; restoration
Renato,Molina,Department of Economics,University of Miami,USA,"Evaluating the bio-economic performance of a Callo de hacha (Atrina maura, Atrina tuberculosa & Pinna rugosa) fishery restoration plan in La Paz, Mexico",2018,PLoS ONE,English,Small scale fisheries; callo de hacha; restoration
Andres,Cisneros-Montemayor,Institute for the Oceans and Fisheries,University of British Columbia,Canada,"A metadata approach to evaluate the state of ocean knowledge: Strengths, limitations, and application to Mexico ",2019,PLoS ONE,English,metadata; ocean; evaluation; oppen acces; data sharing
Miguel Angel,Cisneros-Mata,Instituto Nacional de Pesca y Acuacultura ,Instituto Nacional de Pesca y Acuacultura ,Mexico,"A metadata approach to evaluate the state of ocean knowledge: Strengths, limitations, and application to Mexico ",2019,PLoS ONE,English,metadata; ocean; evaluation; oppen acces; data sharing
Laura,Rodriguez,Environmental Defense Fund de Mexico,Environmental Defense Fund de Mexico,Mexico,"A metadata approach to evaluate the state of ocean knowledge: Strengths, limitations, and application to Mexico ",2019,PLoS ONE,English,metadata; ocean; evaluation; oppen acces; data sharing
Francisco,Arreguin-Sanchez,Centro InterdisciplinariodeCienciasMarinas ,Instituto Politecnico Nacional,Mexico,"A metadata approach to evaluate the state of ocean knowledge: Strengths, limitations, and application to Mexico ",2019,PLoS ONE,English,metadata; ocean; evaluation; oppen acces; data sharing
Veronica,Aguilar,Comision Nacional para el Conocimiento y Uso de la Biodiversidad,Comision Nacional para el Conocimiento y Uso de la Biodiversidad,Mexico,"A metadata approach to evaluate the state of ocean knowledge: Strengths, limitations, and application to Mexico ",2019,PLoS ONE,English,metadata; ocean; evaluation; oppen acces; data sharing
Santiago,Dominguez-Sanchez,Scripps Institution of Oceanography,"University of California, San Diego",USA,"A metadata approach to evaluate the state of ocean knowledge: Strengths, limitations, and application to Mexico ",2019,PLoS ONE,English,metadata; ocean; evaluation; oppen acces; data sharing
Stuart,Fulton,Comunidad y Biodiversidad,Comunidad y Biodiversidad,Mexico,"A metadata approach to evaluate the state of ocean knowledge: Strengths, limitations, and application to Mexico ",2019,PLoS ONE,English,metadata; ocean; evaluation; oppen acces; data sharing
Raquel,Lopez-Sagastegui,Scripps Institution of Oceanography,"University of California, San Diego",USA,"A metadata approach to evaluate the state of ocean knowledge: Strengths, limitations, and application to Mexico ",2019,PLoS ONE,English,metadata; ocean; evaluation; oppen acces; data sharing
Hector,Reyes-Bonilla,Universidad Autonoma de Baja California Sur,Universidad Autonoma de Baja California Sur,Mexico,"A metadata approach to evaluate the state of ocean knowledge: Strengths, limitations, and application to Mexico ",2019,PLoS ONE,English,metadata; ocean; evaluation; oppen acces; data sharing
Rocio,Rivera-Campos,SmartFish Rescare de Valor,SmartFish Rescare de Valor,Mexico,"A metadata approach to evaluate the state of ocean knowledge: Strengths, limitations, and application to Mexico ",2019,PLoS ONE,English,metadata; ocean; evaluation; oppen acces; data sharing
Silvia,Salas,Centro de Investigacion y Estudios Avanzados,Instituto Politecnico Nacional,Mexico,"A metadata approach to evaluate the state of ocean knowledge: Strengths, limitations, and application to Mexico ",2019,PLoS ONE,English,metadata; ocean; evaluation; oppen acces; data sharing
Nuno,Simoes,Unidad Multidisciplinaria de Docencia e Investigacion – Sisal,Universidad Nacional Auttonoma de Mexico,Mexico,"A metadata approach to evaluate the state of ocean knowledge: Strengths, limitations, and application to Mexico ",2019,PLoS ONE,English,metadata; ocean; evaluation; oppen acces; data sharing
William,Cheung,Institute for the Oceans and Fisheries,University of British Columbia,Canada,"A metadata approach to evaluate the state of ocean knowledge: Strengths, limitations, and application to Mexico ",2019,PLoS ONE,English,metadata; ocean; evaluation; oppen acces; data sharing
