n_Dive,Time_min,Depth_m,Depth_ft,Date,Site,City,Country,Type,Lat,Long,
1,45,10,32.8084,2008-02-08,Palmitas,Acapulco,Mexico,Certificacion,16.82313,99.91352,
2,40,10,32.8084,2008-02-08,El Jardin,Acapulco,Mexico,Certificacion,16.82289,99.90396,
3,19,6,19.68504,2008-02-08,La Virgen,Acapulco,Mexico,Certificacion,16.82477,99.9007,
4,30,12,39.37008,2008-02-09,Palmitas,Acapulco,Mexico,Certificacion,16.82313,99.91352,
5,45,10,32.8084,2008-02-09,El Jardin,Acapulco,Mexico,Certificacion,16.82289,99.90396,
6,40,10,32.8084,2008-02-09,Palmitas,Acapulco,Mexico,Certificacion,16.82313,99.91352,
7,40,16,52.49344,2008-06-12,Riva Palacio,Veracruz Puerto,Mexico,Pecio,19.2371,96.0996,
8,40,15,49.2126,2008-06-12,Pajaros,Veracruz Puerto,Mexico,Deportivo,19.2371,96.0996,
9,30,12,39.37008,2008-06-12,Isla Verde,Veracruz Puerto,Mexico,Deportivo,19.2114,96.0995,
10,40,15,49.2126,2008-06-13,El Ahogado,Veracruz Puerto,Mexico,Deportivo,19.1989,96.0995,
11,35,18,59.05512,2008-06-13,Colas de Gato,Veracruz Puerto,Mexico,Deportivo,19.221,96.0991,
12,35,16,52.49344,2008-06-13,Catedrales,Veracruz Puerto,Mexico,Deportivo,19.17642,96.09938,
13,40,12,39.37008,2008-07-08,Muelle,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.72265,110.94687,
14,30,22,72.17848,2008-07-09,El Rio de la Plata,Acapulco,Mexico,Pecio,16.82692,99.90001,
15,31,31,101.70604,2008-07-09,La Cagada,Acapulco,Mexico,Deportivo,16.8227,99.91885,
16,45,8,26.24672,2008-07-09,El Jardin,Acapulco,Mexico,Deportivo,16.82289,99.90396,
17,35,9,29.52756,2008-07-09,Canastas,Acapulco,Mexico,Deportivo,16.82555,99.90994,
18,40,16,52.49344,2008-07-09,Palmitas,Acapulco,Mexico,Deportivo,16.82313,99.91352,
19,35,12,39.37008,2008-07-13,Isla Verde,Veracruz Puerto,Mexico,Deportivo,19.2114,96.0995,
20,30,12,39.37008,2008-07-13,Isla Verde,Veracruz Puerto,Mexico,Deportivo,19.2114,96.0995,
21,30,15,49.2126,2008-07-13,El Ahogado,Veracruz Puerto,Mexico,Deportivo,19.1989,96.0995,
22,35,18,59.05512,2008-07-14,Canon de Juarez,Veracruz Puerto,Mexico,Deportivo,19.1754,96.0991,
23,35,21,68.89764,2008-07-14,Catedrales,Veracruz Puerto,Mexico,Deportivo,19.17642,96.09938,
24,40,12,39.37008,2008-08-01,Muelle,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.72265,110.94687,
25,60,20,65.6168,2008-08-01,Muelle,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.72265,110.94687,
26,50,10,32.8084,2008-08-01,Muelle,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.72265,110.94687,
27,55,16,52.49344,2008-08-03,Muelle,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.72265,110.94687,
28,40,15,49.2126,2008-08-03,Muelle,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.72265,110.94687,
29,60,15,49.2126,2008-08-03,El Barquito,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.73024,110.95765,
30,47,15,49.2126,2008-08-03,El Barquito,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.73024,110.95765,
31,45,15,49.2126,2008-08-04,El Barquito,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.73024,110.95765,
32,30,14,45.93176,2008-08-04,Muelle,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.72265,110.94687,
33,60,12,39.37008,2008-08-04,Muelle,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.72265,110.94687,
34,40,12,39.37008,2008-08-04,Playa La Braulia,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.72742,110.93928,
35,50,15,49.2126,2008-08-05,Playa La Braulia,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.72742,110.93928,
36,60,15,49.2126,2008-08-05,El Barquito,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.73024,110.95765,
37,30,15,49.2126,2008-08-05,El Barquito,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.73024,110.95765,
38,25,21,68.89764,2008-08-05,El Barquito,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.73024,110.95765,
39,58,15,49.2126,2008-08-05,Muelle,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.72265,110.94687,
40,52,34,111.54856,2008-08-07,Muelle,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.72265,110.94687,
41,42,42,137.79528,2008-08-07,Muelle,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.72265,110.94687,
42,51,47,154.19948,2008-08-07,Muelle,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.72265,110.94687,
43,55,51,167.32284,2008-08-07,Muelle,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.72265,110.94687,
44,54,56,183.72704,2008-08-08,Muelle,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.72265,110.94687,
45,51,46,150.91864,2008-08-08,El Barquito,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.73024,110.95765,
46,59,49,160.76116,2008-08-08,El Barquito,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.73024,110.95765,
47,47,40,131.2336,2008-08-09,El Barquito,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.73024,110.95765,
48,50,59,193.56956,2008-08-09,Muelle,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.72265,110.94687,
49,41,32,104.98688,2008-08-09,Muelle,"Isla Socorro, Archipielago Revillagigedo",Mexico,Cientifico,18.72265,110.94687,
